room_id,date,slot_group_id,khung_code,availability_status
BT-STD-01,2026-08-25,N1,K1,AVAILABLE
BT-STD-01,2026-08-25,N1,K2,AVAILABLE
BT-STD-01,2026-08-25,N1,K3,BOOKED
BT-STD-01,2026-08-25,N1,QD,AVAILABLE
BT-STD-01,2026-08-26,N1,K1,AVAILABLE
BT-STD-01,2026-08-26,N1,K2,AVAILABLE
BT-STD-01,2026-08-26,N1,K3,AVAILABLE
BT-STD-01,2026-08-26,N1,QD,AVAILABLE
BT-STD-01,2026-08-27,N1,K1,AVAILABLE
BT-STD-01,2026-08-27,N1,K2,AVAILABLE
BT-STD-01,2026-08-27,N1,K3,AVAILABLE
BT-STD-01,2026-08-27,N1,QD,BOOKED
BT-STD-01,2026-08-28,N1,K1,AVAILABLE
BT-STD-01,2026-08-28,N1,K2,AVAILABLE
BT-STD-01,2026-08-28,N1,K3,AVAILABLE
BT-STD-01,2026-08-28,N1,QD,AVAILABLE
BT-STD-01,2026-08-29,N1,K1,AVAILABLE
BT-STD-01,2026-08-29,N1,K2,AVAILABLE
BT-STD-01,2026-08-29,N1,K3,AVAILABLE
BT-STD-01,2026-08-29,N1,QD,AVAILABLE
BT-STD-01,2026-08-30,N1,K1,AVAILABLE
BT-STD-01,2026-08-30,N1,K2,AVAILABLE
BT-STD-01,2026-08-30,N1,K3,AVAILABLE
BT-STD-01,2026-08-30,N1,QD,AVAILABLE
BT-STD-01,2026-08-31,N1,K1,AVAILABLE
BT-STD-01,2026-08-31,N1,K2,AVAILABLE
BT-STD-01,2026-08-31,N1,K3,AVAILABLE
BT-STD-01,2026-08-31,N1,QD,AVAILABLE
BT-STD-02,2026-08-25,N2,K1,AVAILABLE
BT-STD-02,2026-08-25,N2,K2,AVAILABLE
BT-STD-02,2026-08-25,N2,K3,AVAILABLE
BT-STD-02,2026-08-25,N2,QD,AVAILABLE
BT-STD-02,2026-08-26,N2,K1,AVAILABLE
BT-STD-02,2026-08-26,N2,K2,AVAILABLE
BT-STD-02,2026-08-26,N2,K3,AVAILABLE
BT-STD-02,2026-08-26,N2,QD,AVAILABLE
BT-STD-02,2026-08-27,N2,K1,AVAILABLE
BT-STD-02,2026-08-27,N2,K2,AVAILABLE
BT-STD-02,2026-08-27,N2,K3,AVAILABLE
BT-STD-02,2026-08-27,N2,QD,AVAILABLE
BT-STD-02,2026-08-28,N2,K1,AVAILABLE
BT-STD-02,2026-08-28,N2,K2,AVAILABLE
BT-STD-02,2026-08-28,N2,K3,AVAILABLE
BT-STD-02,2026-08-28,N2,QD,AVAILABLE
BT-STD-02,2026-08-29,N2,K1,AVAILABLE
BT-STD-02,2026-08-29,N2,K2,AVAILABLE
BT-STD-02,2026-08-29,N2,K3,AVAILABLE
BT-STD-02,2026-08-29,N2,QD,AVAILABLE
BT-STD-02,2026-08-30,N2,K1,AVAILABLE
BT-STD-02,2026-08-30,N2,K2,AVAILABLE
BT-STD-02,2026-08-30,N2,K3,AVAILABLE
BT-STD-02,2026-08-30,N2,QD,AVAILABLE
BT-STD-02,2026-08-31,N2,K1,AVAILABLE
BT-STD-02,2026-08-31,N2,K2,AVAILABLE
BT-STD-02,2026-08-31,N2,K3,AVAILABLE
BT-STD-02,2026-08-31,N2,QD,AVAILABLE
BT-STD-03,2026-08-25,N3,K1,AVAILABLE
BT-STD-03,2026-08-25,N3,K2,AVAILABLE
BT-STD-03,2026-08-25,N3,K3,AVAILABLE
BT-STD-03,2026-08-25,N3,QD,AVAILABLE
BT-STD-03,2026-08-26,N3,K1,AVAILABLE
BT-STD-03,2026-08-26,N3,K2,AVAILABLE
BT-STD-03,2026-08-26,N3,K3,AVAILABLE
BT-STD-03,2026-08-26,N3,QD,AVAILABLE
BT-STD-03,2026-08-27,N3,K1,AVAILABLE
BT-STD-03,2026-08-27,N3,K2,AVAILABLE
BT-STD-03,2026-08-27,N3,K3,AVAILABLE
BT-STD-03,2026-08-27,N3,QD,AVAILABLE
BT-STD-03,2026-08-28,N3,K1,AVAILABLE
BT-STD-03,2026-08-28,N3,K2,AVAILABLE
BT-STD-03,2026-08-28,N3,K3,AVAILABLE
BT-STD-03,2026-08-28,N3,QD,AVAILABLE
BT-STD-03,2026-08-29,N3,K1,AVAILABLE
BT-STD-03,2026-08-29,N3,K2,AVAILABLE
BT-STD-03,2026-08-29,N3,K3,AVAILABLE
BT-STD-03,2026-08-29,N3,QD,AVAILABLE
BT-STD-03,2026-08-30,N3,K1,AVAILABLE
BT-STD-03,2026-08-30,N3,K2,AVAILABLE
BT-STD-03,2026-08-30,N3,K3,AVAILABLE
BT-STD-03,2026-08-30,N3,QD,AVAILABLE
BT-STD-03,2026-08-31,N3,K1,AVAILABLE
BT-STD-03,2026-08-31,N3,K2,AVAILABLE
BT-STD-03,2026-08-31,N3,K3,HELD
BT-STD-03,2026-08-31,N3,QD,AVAILABLE
BT-STD-04,2026-08-25,N4,K1,AVAILABLE
BT-STD-04,2026-08-25,N4,K2,AVAILABLE
BT-STD-04,2026-08-25,N4,K3,AVAILABLE
BT-STD-04,2026-08-25,N4,QD,AVAILABLE
BT-STD-04,2026-08-26,N4,K1,AVAILABLE
BT-STD-04,2026-08-26,N4,K2,AVAILABLE
BT-STD-04,2026-08-26,N4,K3,AVAILABLE
BT-STD-04,2026-08-26,N4,QD,AVAILABLE
BT-STD-04,2026-08-27,N4,K1,AVAILABLE
BT-STD-04,2026-08-27,N4,K2,AVAILABLE
BT-STD-04,2026-08-27,N4,K3,AVAILABLE
BT-STD-04,2026-08-27,N4,QD,AVAILABLE
BT-STD-04,2026-08-28,N4,K1,AVAILABLE
BT-STD-04,2026-08-28,N4,K2,AVAILABLE
BT-STD-04,2026-08-28,N4,K3,AVAILABLE
BT-STD-04,2026-08-28,N4,QD,AVAILABLE
BT-STD-04,2026-08-29,N4,K1,HELD
BT-STD-04,2026-08-29,N4,K2,AVAILABLE
BT-STD-04,2026-08-29,N4,K3,AVAILABLE
BT-STD-04,2026-08-29,N4,QD,AVAILABLE
BT-STD-04,2026-08-30,N4,K1,AVAILABLE
BT-STD-04,2026-08-30,N4,K2,BOOKED
BT-STD-04,2026-08-30,N4,K3,AVAILABLE
BT-STD-04,2026-08-30,N4,QD,AVAILABLE
BT-STD-04,2026-08-31,N4,K1,AVAILABLE
BT-STD-04,2026-08-31,N4,K2,AVAILABLE
BT-STD-04,2026-08-31,N4,K3,AVAILABLE
BT-STD-04,2026-08-31,N4,QD,AVAILABLE
BT-DL-01,2026-08-25,N1,K1,AVAILABLE
BT-DL-01,2026-08-25,N1,K2,BOOKED
BT-DL-01,2026-08-25,N1,K3,AVAILABLE
BT-DL-01,2026-08-25,N1,QD,AVAILABLE
BT-DL-01,2026-08-26,N1,K1,AVAILABLE
BT-DL-01,2026-08-26,N1,K2,AVAILABLE
BT-DL-01,2026-08-26,N1,K3,AVAILABLE
BT-DL-01,2026-08-26,N1,QD,AVAILABLE
BT-DL-01,2026-08-27,N1,K1,AVAILABLE
BT-DL-01,2026-08-27,N1,K2,HELD
BT-DL-01,2026-08-27,N1,K3,AVAILABLE
BT-DL-01,2026-08-27,N1,QD,AVAILABLE
BT-DL-01,2026-08-28,N1,K1,AVAILABLE
BT-DL-01,2026-08-28,N1,K2,AVAILABLE
BT-DL-01,2026-08-28,N1,K3,AVAILABLE
BT-DL-01,2026-08-28,N1,QD,AVAILABLE
BT-DL-01,2026-08-29,N1,K1,AVAILABLE
BT-DL-01,2026-08-29,N1,K2,AVAILABLE
BT-DL-01,2026-08-29,N1,K3,AVAILABLE
BT-DL-01,2026-08-29,N1,QD,AVAILABLE
BT-DL-01,2026-08-30,N1,K1,AVAILABLE
BT-DL-01,2026-08-30,N1,K2,AVAILABLE
BT-DL-01,2026-08-30,N1,K3,AVAILABLE
BT-DL-01,2026-08-30,N1,QD,AVAILABLE
BT-DL-01,2026-08-31,N1,K1,AVAILABLE
BT-DL-01,2026-08-31,N1,K2,AVAILABLE
BT-DL-01,2026-08-31,N1,K3,AVAILABLE
BT-DL-01,2026-08-31,N1,QD,AVAILABLE
BT-DL-02,2026-08-25,N2,K1,AVAILABLE
BT-DL-02,2026-08-25,N2,K2,AVAILABLE
BT-DL-02,2026-08-25,N2,K3,AVAILABLE
BT-DL-02,2026-08-25,N2,QD,AVAILABLE
BT-DL-02,2026-08-26,N2,K1,AVAILABLE
BT-DL-02,2026-08-26,N2,K2,AVAILABLE
BT-DL-02,2026-08-26,N2,K3,AVAILABLE
BT-DL-02,2026-08-26,N2,QD,AVAILABLE
BT-DL-02,2026-08-27,N2,K1,AVAILABLE
BT-DL-02,2026-08-27,N2,K2,AVAILABLE
BT-DL-02,2026-08-27,N2,K3,AVAILABLE
BT-DL-02,2026-08-27,N2,QD,AVAILABLE
BT-DL-02,2026-08-28,N2,K1,AVAILABLE
BT-DL-02,2026-08-28,N2,K2,AVAILABLE
BT-DL-02,2026-08-28,N2,K3,AVAILABLE
BT-DL-02,2026-08-28,N2,QD,AVAILABLE
BT-DL-02,2026-08-29,N2,K1,AVAILABLE
BT-DL-02,2026-08-29,N2,K2,AVAILABLE
BT-DL-02,2026-08-29,N2,K3,AVAILABLE
BT-DL-02,2026-08-29,N2,QD,AVAILABLE
BT-DL-02,2026-08-30,N2,K1,AVAILABLE
BT-DL-02,2026-08-30,N2,K2,AVAILABLE
BT-DL-02,2026-08-30,N2,K3,AVAILABLE
BT-DL-02,2026-08-30,N2,QD,AVAILABLE
BT-DL-02,2026-08-31,N2,K1,AVAILABLE
BT-DL-02,2026-08-31,N2,K2,AVAILABLE
BT-DL-02,2026-08-31,N2,K3,AVAILABLE
BT-DL-02,2026-08-31,N2,QD,AVAILABLE
BT-DL-03,2026-08-25,N3,K1,AVAILABLE
BT-DL-03,2026-08-25,N3,K2,AVAILABLE
BT-DL-03,2026-08-25,N3,K3,AVAILABLE
BT-DL-03,2026-08-25,N3,QD,AVAILABLE
BT-DL-03,2026-08-26,N3,K1,AVAILABLE
BT-DL-03,2026-08-26,N3,K2,AVAILABLE
BT-DL-03,2026-08-26,N3,K3,AVAILABLE
BT-DL-03,2026-08-26,N3,QD,AVAILABLE
BT-DL-03,2026-08-27,N3,K1,AVAILABLE
BT-DL-03,2026-08-27,N3,K2,AVAILABLE
BT-DL-03,2026-08-27,N3,K3,AVAILABLE
BT-DL-03,2026-08-27,N3,QD,AVAILABLE
BT-DL-03,2026-08-28,N3,K1,AVAILABLE
BT-DL-03,2026-08-28,N3,K2,AVAILABLE
BT-DL-03,2026-08-28,N3,K3,AVAILABLE
BT-DL-03,2026-08-28,N3,QD,AVAILABLE
BT-DL-03,2026-08-29,N3,K1,AVAILABLE
BT-DL-03,2026-08-29,N3,K2,AVAILABLE
BT-DL-03,2026-08-29,N3,K3,AVAILABLE
BT-DL-03,2026-08-29,N3,QD,AVAILABLE
BT-DL-03,2026-08-30,N3,K1,AVAILABLE
BT-DL-03,2026-08-30,N3,K2,AVAILABLE
BT-DL-03,2026-08-30,N3,K3,AVAILABLE
BT-DL-03,2026-08-30,N3,QD,AVAILABLE
BT-DL-03,2026-08-31,N3,K1,AVAILABLE
BT-DL-03,2026-08-31,N3,K2,AVAILABLE
BT-DL-03,2026-08-31,N3,K3,AVAILABLE
BT-DL-03,2026-08-31,N3,QD,AVAILABLE
BT-FAM-01,2026-08-25,N4,K1,AVAILABLE
BT-FAM-01,2026-08-25,N4,K2,AVAILABLE
BT-FAM-01,2026-08-25,N4,K3,AVAILABLE
BT-FAM-01,2026-08-25,N4,QD,AVAILABLE
BT-FAM-01,2026-08-26,N4,K1,AVAILABLE
BT-FAM-01,2026-08-26,N4,K2,AVAILABLE
BT-FAM-01,2026-08-26,N4,K3,AVAILABLE
BT-FAM-01,2026-08-26,N4,QD,AVAILABLE
BT-FAM-01,2026-08-27,N4,K1,AVAILABLE
BT-FAM-01,2026-08-27,N4,K2,AVAILABLE
BT-FAM-01,2026-08-27,N4,K3,AVAILABLE
BT-FAM-01,2026-08-27,N4,QD,AVAILABLE
BT-FAM-01,2026-08-28,N4,K1,AVAILABLE
BT-FAM-01,2026-08-28,N4,K2,AVAILABLE
BT-FAM-01,2026-08-28,N4,K3,AVAILABLE
BT-FAM-01,2026-08-28,N4,QD,AVAILABLE
BT-FAM-01,2026-08-29,N4,K1,AVAILABLE
BT-FAM-01,2026-08-29,N4,K2,AVAILABLE
BT-FAM-01,2026-08-29,N4,K3,AVAILABLE
BT-FAM-01,2026-08-29,N4,QD,AVAILABLE
BT-FAM-01,2026-08-30,N4,K1,AVAILABLE
BT-FAM-01,2026-08-30,N4,K2,AVAILABLE
BT-FAM-01,2026-08-30,N4,K3,AVAILABLE
BT-FAM-01,2026-08-30,N4,QD,AVAILABLE
BT-FAM-01,2026-08-31,N4,K1,AVAILABLE
BT-FAM-01,2026-08-31,N4,K2,AVAILABLE
BT-FAM-01,2026-08-31,N4,K3,AVAILABLE
BT-FAM-01,2026-08-31,N4,QD,AVAILABLE
TD-STD-01,2026-08-25,N1,K1,AVAILABLE
TD-STD-01,2026-08-25,N1,K2,AVAILABLE
TD-STD-01,2026-08-25,N1,K3,AVAILABLE
TD-STD-01,2026-08-25,N1,QD,AVAILABLE
TD-STD-01,2026-08-26,N1,K1,BOOKED
TD-STD-01,2026-08-26,N1,K2,AVAILABLE
TD-STD-01,2026-08-26,N1,K3,AVAILABLE
TD-STD-01,2026-08-26,N1,QD,AVAILABLE
TD-STD-01,2026-08-27,N1,K1,AVAILABLE
TD-STD-01,2026-08-27,N1,K2,AVAILABLE
TD-STD-01,2026-08-27,N1,K3,AVAILABLE
TD-STD-01,2026-08-27,N1,QD,AVAILABLE
TD-STD-01,2026-08-28,N1,K1,AVAILABLE
TD-STD-01,2026-08-28,N1,K2,AVAILABLE
TD-STD-01,2026-08-28,N1,K3,AVAILABLE
TD-STD-01,2026-08-28,N1,QD,AVAILABLE
TD-STD-01,2026-08-29,N1,K1,AVAILABLE
TD-STD-01,2026-08-29,N1,K2,AVAILABLE
TD-STD-01,2026-08-29,N1,K3,AVAILABLE
TD-STD-01,2026-08-29,N1,QD,AVAILABLE
TD-STD-01,2026-08-30,N1,K1,AVAILABLE
TD-STD-01,2026-08-30,N1,K2,HELD
TD-STD-01,2026-08-30,N1,K3,AVAILABLE
TD-STD-01,2026-08-30,N1,QD,AVAILABLE
TD-STD-01,2026-08-31,N1,K1,AVAILABLE
TD-STD-01,2026-08-31,N1,K2,AVAILABLE
TD-STD-01,2026-08-31,N1,K3,AVAILABLE
TD-STD-01,2026-08-31,N1,QD,AVAILABLE
TD-STD-02,2026-08-25,N2,K1,AVAILABLE
TD-STD-02,2026-08-25,N2,K2,AVAILABLE
TD-STD-02,2026-08-25,N2,K3,AVAILABLE
TD-STD-02,2026-08-25,N2,QD,AVAILABLE
TD-STD-02,2026-08-26,N2,K1,AVAILABLE
TD-STD-02,2026-08-26,N2,K2,AVAILABLE
TD-STD-02,2026-08-26,N2,K3,AVAILABLE
TD-STD-02,2026-08-26,N2,QD,AVAILABLE
TD-STD-02,2026-08-27,N2,K1,AVAILABLE
TD-STD-02,2026-08-27,N2,K2,AVAILABLE
TD-STD-02,2026-08-27,N2,K3,AVAILABLE
TD-STD-02,2026-08-27,N2,QD,AVAILABLE
TD-STD-02,2026-08-28,N2,K1,AVAILABLE
TD-STD-02,2026-08-28,N2,K2,AVAILABLE
TD-STD-02,2026-08-28,N2,K3,AVAILABLE
TD-STD-02,2026-08-28,N2,QD,AVAILABLE
TD-STD-02,2026-08-29,N2,K1,AVAILABLE
TD-STD-02,2026-08-29,N2,K2,AVAILABLE
TD-STD-02,2026-08-29,N2,K3,AVAILABLE
TD-STD-02,2026-08-29,N2,QD,AVAILABLE
TD-STD-02,2026-08-30,N2,K1,AVAILABLE
TD-STD-02,2026-08-30,N2,K2,AVAILABLE
TD-STD-02,2026-08-30,N2,K3,AVAILABLE
TD-STD-02,2026-08-30,N2,QD,AVAILABLE
TD-STD-02,2026-08-31,N2,K1,AVAILABLE
TD-STD-02,2026-08-31,N2,K2,AVAILABLE
TD-STD-02,2026-08-31,N2,K3,AVAILABLE
TD-STD-02,2026-08-31,N2,QD,AVAILABLE
TD-STD-03,2026-08-25,N3,K1,AVAILABLE
TD-STD-03,2026-08-25,N3,K2,AVAILABLE
TD-STD-03,2026-08-25,N3,K3,AVAILABLE
TD-STD-03,2026-08-25,N3,QD,AVAILABLE
TD-STD-03,2026-08-26,N3,K1,AVAILABLE
TD-STD-03,2026-08-26,N3,K2,AVAILABLE
TD-STD-03,2026-08-26,N3,K3,AVAILABLE
TD-STD-03,2026-08-26,N3,QD,AVAILABLE
TD-STD-03,2026-08-27,N3,K1,AVAILABLE
TD-STD-03,2026-08-27,N3,K2,AVAILABLE
TD-STD-03,2026-08-27,N3,K3,AVAILABLE
TD-STD-03,2026-08-27,N3,QD,AVAILABLE
TD-STD-03,2026-08-28,N3,K1,AVAILABLE
TD-STD-03,2026-08-28,N3,K2,AVAILABLE
TD-STD-03,2026-08-28,N3,K3,BOOKED
TD-STD-03,2026-08-28,N3,QD,AVAILABLE
TD-STD-03,2026-08-29,N3,K1,AVAILABLE
TD-STD-03,2026-08-29,N3,K2,AVAILABLE
TD-STD-03,2026-08-29,N3,K3,AVAILABLE
TD-STD-03,2026-08-29,N3,QD,AVAILABLE
TD-STD-03,2026-08-30,N3,K1,AVAILABLE
TD-STD-03,2026-08-30,N3,K2,AVAILABLE
TD-STD-03,2026-08-30,N3,K3,AVAILABLE
TD-STD-03,2026-08-30,N3,QD,AVAILABLE
TD-STD-03,2026-08-31,N3,K1,AVAILABLE
TD-STD-03,2026-08-31,N3,K2,AVAILABLE
TD-STD-03,2026-08-31,N3,K3,AVAILABLE
TD-STD-03,2026-08-31,N3,QD,AVAILABLE
TD-DL-01,2026-08-25,N4,K1,AVAILABLE
TD-DL-01,2026-08-25,N4,K2,AVAILABLE
TD-DL-01,2026-08-25,N4,K3,AVAILABLE
TD-DL-01,2026-08-25,N4,QD,AVAILABLE
TD-DL-01,2026-08-26,N4,K1,AVAILABLE
TD-DL-01,2026-08-26,N4,K2,AVAILABLE
TD-DL-01,2026-08-26,N4,K3,AVAILABLE
TD-DL-01,2026-08-26,N4,QD,AVAILABLE
TD-DL-01,2026-08-27,N4,K1,AVAILABLE
TD-DL-01,2026-08-27,N4,K2,AVAILABLE
TD-DL-01,2026-08-27,N4,K3,AVAILABLE
TD-DL-01,2026-08-27,N4,QD,AVAILABLE
TD-DL-01,2026-08-28,N4,K1,AVAILABLE
TD-DL-01,2026-08-28,N4,K2,AVAILABLE
TD-DL-01,2026-08-28,N4,K3,AVAILABLE
TD-DL-01,2026-08-28,N4,QD,AVAILABLE
TD-DL-01,2026-08-29,N4,K1,AVAILABLE
TD-DL-01,2026-08-29,N4,K2,AVAILABLE
TD-DL-01,2026-08-29,N4,K3,AVAILABLE
TD-DL-01,2026-08-29,N4,QD,BOOKED
TD-DL-01,2026-08-30,N4,K1,AVAILABLE
TD-DL-01,2026-08-30,N4,K2,AVAILABLE
TD-DL-01,2026-08-30,N4,K3,AVAILABLE
TD-DL-01,2026-08-30,N4,QD,AVAILABLE
TD-DL-01,2026-08-31,N4,K1,AVAILABLE
TD-DL-01,2026-08-31,N4,K2,AVAILABLE
TD-DL-01,2026-08-31,N4,K3,AVAILABLE
TD-DL-01,2026-08-31,N4,QD,AVAILABLE
TD-DL-02,2026-08-25,N1,K1,AVAILABLE
TD-DL-02,2026-08-25,N1,K2,AVAILABLE
TD-DL-02,2026-08-25,N1,K3,AVAILABLE
TD-DL-02,2026-08-25,N1,QD,AVAILABLE
TD-DL-02,2026-08-26,N1,K1,AVAILABLE
TD-DL-02,2026-08-26,N1,K2,AVAILABLE
TD-DL-02,2026-08-26,N1,K3,AVAILABLE
TD-DL-02,2026-08-26,N1,QD,AVAILABLE
TD-DL-02,2026-08-27,N1,K1,AVAILABLE
TD-DL-02,2026-08-27,N1,K2,AVAILABLE
TD-DL-02,2026-08-27,N1,K3,AVAILABLE
TD-DL-02,2026-08-27,N1,QD,AVAILABLE
TD-DL-02,2026-08-28,N1,K1,AVAILABLE
TD-DL-02,2026-08-28,N1,K2,AVAILABLE
TD-DL-02,2026-08-28,N1,K3,AVAILABLE
TD-DL-02,2026-08-28,N1,QD,AVAILABLE
TD-DL-02,2026-08-29,N1,K1,AVAILABLE
TD-DL-02,2026-08-29,N1,K2,AVAILABLE
TD-DL-02,2026-08-29,N1,K3,AVAILABLE
TD-DL-02,2026-08-29,N1,QD,AVAILABLE
TD-DL-02,2026-08-30,N1,K1,AVAILABLE
TD-DL-02,2026-08-30,N1,K2,AVAILABLE
TD-DL-02,2026-08-30,N1,K3,AVAILABLE
TD-DL-02,2026-08-30,N1,QD,AVAILABLE
TD-DL-02,2026-08-31,N1,K1,AVAILABLE
TD-DL-02,2026-08-31,N1,K2,AVAILABLE
TD-DL-02,2026-08-31,N1,K3,AVAILABLE
TD-DL-02,2026-08-31,N1,QD,AVAILABLE
TD-DL-03,2026-08-25,N2,K1,AVAILABLE
TD-DL-03,2026-08-25,N2,K2,AVAILABLE
TD-DL-03,2026-08-25,N2,K3,AVAILABLE
TD-DL-03,2026-08-25,N2,QD,AVAILABLE
TD-DL-03,2026-08-26,N2,K1,AVAILABLE
TD-DL-03,2026-08-26,N2,K2,AVAILABLE
TD-DL-03,2026-08-26,N2,K3,AVAILABLE
TD-DL-03,2026-08-26,N2,QD,AVAILABLE
TD-DL-03,2026-08-27,N2,K1,AVAILABLE
TD-DL-03,2026-08-27,N2,K2,AVAILABLE
TD-DL-03,2026-08-27,N2,K3,AVAILABLE
TD-DL-03,2026-08-27,N2,QD,AVAILABLE
TD-DL-03,2026-08-28,N2,K1,AVAILABLE
TD-DL-03,2026-08-28,N2,K2,AVAILABLE
TD-DL-03,2026-08-28,N2,K3,AVAILABLE
TD-DL-03,2026-08-28,N2,QD,AVAILABLE
TD-DL-03,2026-08-29,N2,K1,AVAILABLE
TD-DL-03,2026-08-29,N2,K2,AVAILABLE
TD-DL-03,2026-08-29,N2,K3,AVAILABLE
TD-DL-03,2026-08-29,N2,QD,AVAILABLE
TD-DL-03,2026-08-30,N2,K1,AVAILABLE
TD-DL-03,2026-08-30,N2,K2,AVAILABLE
TD-DL-03,2026-08-30,N2,K3,AVAILABLE
TD-DL-03,2026-08-30,N2,QD,AVAILABLE
TD-DL-03,2026-08-31,N2,K1,AVAILABLE
TD-DL-03,2026-08-31,N2,K2,AVAILABLE
TD-DL-03,2026-08-31,N2,K3,AVAILABLE
TD-DL-03,2026-08-31,N2,QD,AVAILABLE
TD-FAM-01,2026-08-25,N3,K1,AVAILABLE
TD-FAM-01,2026-08-25,N3,K2,AVAILABLE
TD-FAM-01,2026-08-25,N3,K3,AVAILABLE
TD-FAM-01,2026-08-25,N3,QD,AVAILABLE
TD-FAM-01,2026-08-26,N3,K1,AVAILABLE
TD-FAM-01,2026-08-26,N3,K2,AVAILABLE
TD-FAM-01,2026-08-26,N3,K3,AVAILABLE
TD-FAM-01,2026-08-26,N3,QD,AVAILABLE
TD-FAM-01,2026-08-27,N3,K1,AVAILABLE
