room_id,slot_group_id,khung_code,khung_label,base_price,effective_from,effective_to
BT-STD-01,N1,K1,Khung 1 (buổi sáng),140000,2026-09-23,
BT-STD-01,N1,K2,Khung 2 (buổi trưa - chiều),150000,2026-08-01,
BT-STD-01,N1,K3,Khung 3 (buổi chiều - tối),150000,2026-08-01,
BT-STD-01,N1,QD,Khung qua đêm,450000,2026-08-01,
BT-STD-02,N2,K1,Khung 1 (buổi sáng),140000,2026-09-23,
BT-STD-02,N2,K2,Khung 2 (buổi trưa - chiều),150000,2026-08-01,
BT-STD-02,N2,K3,Khung 3 (buổi chiều - tối),150000,2026-08-01,
BT-STD-02,N2,QD,Khung qua đêm,450000,2026-08-01,
BT-STD-03,N3,K1,Khung 1 (buổi sáng),140000,2026-09-23,
BT-STD-03,N3,K2,Khung 2 (buổi trưa - chiều),150000,2026-08-01,
BT-STD-03,N3,K3,Khung 3 (buổi chiều - tối),150000,2026-08-01,
BT-STD-03,N3,QD,Khung qua đêm,450000,2026-08-01,
BT-STD-04,N4,K1,Khung 1 (buổi sáng),140000,2026-09-23,
BT-STD-04,N4,K2,Khung 2 (buổi trưa - chiều),150000,2026-08-01,
BT-STD-04,N4,K3,Khung 3 (buổi chiều - tối),150000,2026-08-01,
BT-STD-04,N4,QD,Khung qua đêm,450000,2026-08-01,
BT-DL-01,N1,K1,Khung 1 (buổi sáng),200000,2026-08-01,
BT-DL-01,N1,K2,Khung 2 (buổi trưa - chiều),220000,2026-08-01,
BT-DL-01,N1,K3,Khung 3 (buổi chiều - tối),220000,2026-08-01,
BT-DL-01,N1,QD,Khung qua đêm,650000,2026-08-01,
BT-DL-02,N2,K1,Khung 1 (buổi sáng),200000,2026-08-01,
BT-DL-02,N2,K2,Khung 2 (buổi trưa - chiều),220000,2026-08-01,
BT-DL-02,N2,K3,Khung 3 (buổi chiều - tối),220000,2026-08-01,
BT-DL-02,N2,QD,Khung qua đêm,650000,2026-08-01,
BT-DL-03,N3,K1,Khung 1 (buổi sáng),200000,2026-08-01,
BT-DL-03,N3,K2,Khung 2 (buổi trưa - chiều),220000,2026-08-01,
BT-DL-03,N3,K3,Khung 3 (buổi chiều - tối),220000,2026-08-01,
BT-DL-03,N3,QD,Khung qua đêm,650000,2026-08-01,
BT-FAM-01,N4,K1,Khung 1 (buổi sáng),300000,2026-08-01,
